station_id,time_id,arrivals,departures
1,8544,1,0
1,8545,0,0
1,8546,1,0
1,8547,0,0
2,8544,0,2
2,8545,0,0
2,8546,0,0
2,8547,0,0
3,8544,0,0
3,8545,0,0
3,8546,0,0
3,8547,0,0
4,8544,1,2
4,8545,2,3
4,8546,2,1
4,8547,1,1
5,8544,1,0
5,8545,0,2
5,8546,0,1
5,8547,0,0
6,8544,0,0
6,8545,0,1
6,8546,0,0
6,8547,0,0
7,8544,0,0
7,8545,0,0
7,8546,0,0
7,8547,0,0
8,8544,0,0
8,8545,0,0
8,8546,0,0
8,8547,0,0
9,8544,0,2
9,8545,0,0
9,8546,0,0
9,8547,2,0
10,8544,3,0
10,8545,0,0
10,8546,0,4
10,8547,0,0
11,8544,0,1
11,8545,2,0
11,8546,0,0
11,8547,1,2
12,8544,0,1
12,8545,0,0
12,8546,0,0
12,8547,0,3
13,8544,1,3
13,8545,1,2
13,8546,0,1
13,8547,0,0
14,8544,10,0
14,8545,1,7
14,8546,3,2
14,8547,3,0
15,8544,0,0
15,8545,1,0
15,8546,0,0
15,8547,1,2
16,8544,0,0
16,8545,2,0
16,8546,0,0
16,8547,1,0
17,8544,1,2
17,8545,2,0
17,8546,0,0
17,8547,0,2
18,8544,0,2
18,8545,0,1
18,8546,0,0
18,8547,0,0
19,8544,0,0
19,8545,0,0
19,8546,0,0
19,8547,0,0
20,8544,0,0
20,8545,0,0
20,8546,0,0
20,8547,0,0
21,8544,0,2
21,8545,0,0
21,8546,0,0
21,8547,0,0
22,8544,0,0
22,8545,0,0
22,8546,0,4
22,8547,0,0
23,8544,0,0
23,8545,1,0
23,8546,0,0
23,8547,0,0
24,8544,0,0
24,8545,1,9
24,8546,2,1
24,8547,2,0
25,8544,1,0
25,8545,2,1
25,8546,3,2
25,8547,0,0
26,8544,1,1
26,8545,2,0
26,8546,0,0
26,8547,1,0
27,8544,0,0
27,8545,1,1
27,8546,0,1
27,8547,0,0
28,8544,0,0
28,8545,1,1
28,8546,1,1
28,8547,1,0
29,8544,2,0
29,8545,0,0
29,8546,0,0
29,8547,0,0
30,8544,0,0
30,8545,0,1
30,8546,0,2
30,8547,0,0
31,8544,0,0
31,8545,2,5
31,8546,0,1
31,8547,1,2
32,8544,0,0
32,8545,0,1
32,8546,0,1
32,8547,0,0
33,8544,0,0
33,8545,0,0
33,8546,0,0
33,8547,0,0
34,8544,1,0
34,8545,0,0
34,8546,0,0
34,8547,0,0
35,8544,0,0
35,8545,0,0
35,8546,0,0
35,8547,0,0
36,8544,0,0
36,8545,0,0
36,8546,2,0
36,8547,0,1
37,8544,2,2
37,8545,2,1
37,8546,0,0
37,8547,0,0
38,8544,0,0
38,8545,1,1
38,8546,0,0
38,8547,0,0
39,8544,4,7
39,8545,3,6
39,8546,6,5
39,8547,1,6
40,8544,0,0
40,8545,0,0
40,8546,2,2
40,8547,0,4
41,8544,0,1
41,8545,0,0
41,8546,0,0
41,8547,0,2
42,8544,0,0
42,8545,0,0
42,8546,0,1
42,8547,0,0
43,8544,0,1
43,8545,0,1
43,8546,1,0
43,8547,0,0
44,8544,0,0
44,8545,0,0
44,8546,1,7
44,8547,0,0
45,8544,0,0
45,8545,1,0
45,8546,0,0
45,8547,0,0
46,8544,1,0
46,8545,0,0
46,8546,1,0
46,8547,0,0
47,8544,3,1
47,8545,0,1
47,8546,5,0
47,8547,0,1
48,8544,3,0
48,8545,3,1
48,8546,0,0
48,8547,0,1
49,8544,0,2
49,8545,1,0
49,8546,0,1
49,8547,0,0
50,8544,1,0
50,8545,0,2
50,8546,1,0
50,8547,0,1
51,8544,0,0
51,8545,1,0
51,8546,0,1
51,8547,0,0
52,8544,0,0
52,8545,0,1
52,8546,0,0
52,8547,3,0
53,8544,0,0
53,8545,0,0
53,8546,0,0
53,8547,0,0
54,8544,0,0
54,8545,0,0
54,8546,0,3
54,8547,0,0
55,8544,6,0
55,8545,0,0
55,8546,0,0
55,8547,0,5
56,8544,0,0
56,8545,1,0
56,8546,0,0
56,8547,0,0
57,8544,0,0
57,8545,0,0
57,8546,0,0
57,8547,0,0
58,8544,2,0
58,8545,1,1
58,8546,3,2
58,8547,0,0
59,8544,0,0
59,8545,0,0
59,8546,0,0
59,8547,0,0
60,8544,0,2
60,8545,0,0
60,8546,0,0
60,8547,0,0
61,8544,3,0
61,8545,1,0
61,8546,0,0
61,8547,1,0
62,8544,1,0
62,8545,0,0
62,8546,0,1
62,8547,1,1
63,8544,0,1
63,8545,3,3
63,8546,3,0
63,8547,0,0
64,8544,1,4
64,8545,0,0
64,8546,0,0
64,8547,0,0
65,8544,0,0
65,8545,0,0
