station_id,time_id,arrivals,departures
1,12816,1,0
1,12817,0,0
1,12818,0,0
1,12819,0,0
1,12820,1,0
1,12821,0,0
2,12816,0,1
2,12817,0,1
2,12818,0,0
2,12819,0,0
2,12820,0,0
2,12821,0,0
3,12816,0,0
3,12817,0,0
3,12818,0,0
3,12819,0,0
3,12820,0,0
3,12821,0,0
4,12816,1,2
4,12817,2,2
4,12818,0,1
4,12819,2,1
4,12820,1,1
4,12821,0,0
5,12816,0,0
5,12817,1,2
5,12818,0,0
5,12819,0,1
5,12820,0,0
5,12821,0,0
6,12816,0,0
6,12817,0,0
6,12818,0,1
6,12819,0,0
6,12820,0,0
6,12821,0,0
7,12816,0,0
7,12817,0,0
7,12818,0,0
7,12819,0,0
7,12820,0,0
7,12821,0,0
8,12816,0,0
8,12817,0,0
8,12818,0,0
8,12819,0,0
8,12820,0,0
8,12821,0,0
9,12816,0,0
9,12817,0,2
9,12818,0,0
9,12819,0,0
9,12820,0,0
9,12821,2,0
10,12816,3,0
10,12817,0,0
10,12818,0,0
10,12819,0,4
10,12820,0,0
10,12821,0,0
11,12816,0,1
11,12817,0,0
11,12818,2,0
11,12819,0,0
11,12820,1,0
11,12821,0,2
12,12816,0,0
12,12817,0,1
12,12818,0,0
12,12819,0,0
12,12820,0,3
12,12821,0,0
13,12816,1,0
13,12817,0,4
13,12818,1,1
13,12819,0,1
13,12820,0,0
13,12821,0,0
14,12816,0,0
14,12817,11,6
14,12818,0,1
14,12819,3,1
14,12820,0,1
14,12821,3,0
15,12816,0,0
15,12817,0,0
15,12818,1,0
15,12819,0,0
15,12820,1,0
15,12821,0,2
16,12816,0,0
16,12817,1,0
16,12818,1,0
16,12819,0,0
16,12820,0,0
16,12821,1,0
17,12816,1,1
17,12817,0,1
17,12818,2,0
17,12819,0,0
17,12820,0,2
17,12821,0,0
18,12816,0,1
18,12817,0,1
18,12818,0,1
18,12819,0,0
18,12820,0,0
18,12821,0,0
19,12816,0,0
19,12817,0,0
19,12818,0,0
19,12819,0,0
19,12820,0,0
19,12821,0,0
20,12816,0,0
20,12817,0,0
20,12818,0,0
20,12819,0,0
20,12820,0,0
