station_id,time_id,arrivals,departures
1,4272,1,0
1,4273,1,0
2,4272,0,2
2,4273,0,0
3,4272,0,0
3,4273,0,0
4,4272,3,5
4,4273,3,2
5,4272,1,2
5,4273,0,1
6,4272,0,1
6,4273,0,0
7,4272,0,0
7,4273,0,0
8,4272,0,0
8,4273,0,0
9,4272,0,2
9,4273,2,0
10,4272,3,0
10,4273,0,4
11,4272,2,1
11,4273,1,2
12,4272,0,1
12,4273,0,3
13,4272,2,5
13,4273,0,1
14,4272,11,7
14,4273,6,2
15,4272,1,0
15,4273,1,2
16,4272,2,0
16,4273,1,0
17,4272,3,2
17,4273,0,2
18,4272,0,3
18,4273,0,0
19,4272,0,0
19,4273,0,0
20,4272,0,0
20,4273,0,0
21,4272,0,2
21,4273,0,0
22,4272,0,0
22,4273,0,4
23,4272,1,0
23,4273,0,0
24,4272,1,9
24,4273,4,1
25,4272,3,1
25,4273,3,2
26,4272,3,1
26,4273,1,0
27,4272,1,1
27,4273,0,1
28,4272,1,1
28,4273,2,1
29,4272,2,0
29,4273,0,0
30,4272,0,1
30,4273,0,2
31,4272,2,5
31,4273,1,3
32,4272,0,1
32,4273,0,1
33,4272,0,0
33,4273,0,0
34,4272,1,0
34,4273,0,0
35,4272,0,0
35,4273,0,0
36,4272,0,0
36,4273,2,1
37,4272,4,3
37,4273,0,0
38,4272,1,1
38,4273,0,0
39,4272,7,13
39,4273,7,11
40,4272,0,0
40,4273,2,6
41,4272,0,1
41,4273,0,2
42,4272,0,0
42,4273,0,1
43,4272,0,2
43,4273,1,0
44,4272,0,0
44,4273,1,7
45,4272,1,0
45,4273,0,0
46,4272,1,0
46,4273,1,0
47,4272,3,2
47,4273,5,1
48,4272,6,1
48,4273,0,1
49,4272,1,2
49,4273,0,1
50,4272,1,2
50,4273,1,1
51,4272,1,0
51,4273,0,1
52,4272,0,1
52,4273,3,0
53,4272,0,0
53,4273,0,0
54,4272,0,0
54,4273,0,3
55,4272,6,0
55,4273,0,5
56,4272,1,0
56,4273,0,0
57,4272,0,0
57,4273,0,0
58,4272,3,1
58,4273,3,2
59,4272,0,0
59,4273,0,0
60,4272,0,2
60,4273,0,0
61,4272,4,0
61,4273,1,0
62,4272,1,0
62,4273,1,2
63,4272,3,4
63,4273,3,0
64,4272,1,4
64,4273,0,0
65,4272,0,0
65,4273,0,0
66,4272,3,0
66,4273,0,0
67,4272,0,0
67,4273,0,1
68,4272,1,1
68,4273,0,0
69,4272,0,0
69,4273,0,3
70,4272,1,0
70,4273,2,0
71,4272,0,2
71,4273,1,2
72,4272,5,1
72,4273,0,0
73,4272,9,9
73,4273,11,7
74,4272,1,5
74,4273,3,1
75,4272,1,1
75,4273,0,0
76,4272,0,0
76,4273,0,0
77,4272,2,3
77,4273,3,0
78,4272,4,0
78,4273,2,1
79,4272,0,0
79,4273,0,0
80,4272,1,1
80,4273,0,1
81,4272,2,0
81,4273,2,1
82,4272,0,1
82,4273,1,0
83,4272,0,5
83,4273,4,2
84,4272,0,0
84,4273,0,0
85,4272,2,0
85,4273,2,2
86,4272,2,0
86,4273,0,0
87,4272,1,0
87,4273,0,2
88,4272,3,5
88,4273,2,5
89,4272,1,0
89,4273,4,0
90,4272,0,0
90,4273,1,0
91,4272,0,4
91,4273,1,2
92,4272,2,1
92,4273,1,0
93,4272,3,1
93,4273,0,1
94,4272,1,0
94,4273,1,1
95,4272,3,5
95,4273,0,1
96,4272,5,0
96,4273,1,0
97,4272,0,4
97,4273,0,2
98,4272,0,0
98,4273,1,0
99,4272,4,7
99,4273,2,4
100,4272,0,1
100,4273,0,3
101,4272,1,1
101,4273,0,0
102,4272,0,0
102,4273,1,0
103,4272,0,2
103,4273,0,0
104,4272,0,1
104,4273,1,0
105,4272,3,4
105,4273,0,5
106,4272,0,0
106,4273,0,0
107,4272,3,1
107,4273,0,1
108,4272,0,2
108,4273,0,0
109,4272,0,0
109,4273,0,0
110,4272,0,0
110,4273,0,1
111,4272,3,15
111,4273,1,1
112,4272,0,2
112,4273,0,0
113,4272,3,0
113,4273,1,0
114,4272,0,1
114,4273,0,2
115,4272,1,3
115,4273,4,3
116,4272,4,4
116,4273,2,2
117,4272,0,0
117,4273,3,0
118,4272,3,0
118,4273,2,0
119,4272,4,1
119,4273,4,0
120,4272,0,0
120,4273,0,0
121,4272,2,2
121,4273,0,0
122,4272,1,1
122,4273,3,2
123,4272,1,4
123,4273,0,0
124,4272,0,2
124,4273,3,3
125,4272,2,2
125,4273,1,1
126,4272,0,0
126,4273,0,0
127,4272,0,0
127,4273,1,0
128,4272,3,0
128,4273,0,0
129,4272,0,0
129,4273,0,0
130,4272,3,15
130,4273,4,2
131,4272,0,0
131,4273,2,2
132,4272,9,10
132,4273,8,7
133,4272,2,1
133,4273,2,2
134,4272,2,0
134,4273,0,0
135,4272,0,1
135,4273,0,0
136,4272,1,0
136,4273,0,0
137,4272,1,1
137,4273,0,1
138,4272,0,1
138,4273,0,0
139,4272,4,0
139,4273,1,1
140,4272,0,0
140,4273,0,1
141,4272,0,4
141,4273,0,3
142,4272,0,0
142,4273,0,0
143,4272,2,0
143,4273,0,2
144,4272,1,0
144,4273,2,1
145,4272,0,0
145,4273,0,0
146,4272,0,3
146,4273,0,1
147,4272,0,0
147,4273,0,0
148,4272,0,0
148,4273,1,0
149,4272,1,0
149,4273,3,4
150,4272,0,1
150,4273,0,0
151,4272,4,1
151,4273,0,0
152,4272,7,1
152,4273,4,4
153,4272,1,2
153,4273,0,2
154,4272,0,1
154,4273,0,0
155,4272,1,0
155,4273,0,1
156,4272,4,0
156,4273,4,0
157,4272,1,2
157,4273,3,2
158,4272,1,1
158,4273,1,2
159,4272,2,1
159,4273,0,10
160,4272,1,2
160,4273,1,0
161,4272,0,0
161,4273,0,0
162,4272,2,1
162,4273,0,1
163,4272,1,2
163,4273,0,2
164,4272,1,1
164,4273,3,0
165,4272,0,0
165,4273,1,0
166,4272,5,1
166,4273,2,2
167,4272,8,1
167,4273,1,0
168,4272,1,0
168,4273,0,2
169,4272,0,0
169,4273,0,0
170,4272,0,0
170,4273,1,0
171,4272,0,2
171,4273,2,0
172,4272,0,1
172,4273,0,0
173,4272,0,2
173,4273,0,0
174,4272,0,1
174,4273,0,2
175,4272,0,0
175,4273,0,0
