station_id,time_id,arrivals,departures
1,6623,1,1
2,6623,0,1
3,6623,0,0
4,6623,1,0
5,6623,1,0
6,6623,0,0
7,6623,1,0
8,6623,0,0
9,6623,1,1
10,6623,0,1
11,6623,1,0
12,6623,1,0
13,6623,0,0
14,6623,2,3
15,6623,1,1
16,6623,0,0
17,6623,2,1
18,6623,0,2
19,6623,0,0
20,6623,0,0
21,6623,1,0
22,6623,1,0
23,6623,0,1
24,6623,2,0
25,6623,3,0
26,6623,0,1
27,6623,0,0
28,6623,1,1
29,6623,3,0
30,6623,1,1
31,6623,0,0
32,6623,8,5
33,6623,0,0
34,6623,0,0
35,6623,0,0
36,6623,1,1
37,6623,1,5
38,6623,0,1
39,6623,6,1
40,6623,1,1
41,6623,0,0
42,6623,2,0
43,6623,0,2
44,6623,0,0
45,6623,1,4
46,6623,1,1
47,6623,1,1
48,6623,0,1
49,6623,2,0
50,6623,5,0
51,6623,0,0
52,6623,0,0
53,6623,0,0
54,6623,0,1
55,6623,1,2
56,6623,0,1
57,6623,0,0
58,6623,2,0
59,6623,2,2
60,6623,2,0
61,6623,0,0
62,6623,2,1
63,6623,2,0
64,6623,8,10
65,6623,0,1
66,6623,0,2
67,6623,1,0
68,6623,0,3
69,6623,0,0
70,6623,0,0
71,6623,0,0
72,6623,0,0
73,6623,5,6
74,6623,4,6
75,6623,1,0
76,6623,0,0
77,6623,0,1
78,6623,0,0
79,6623,0,0
80,6623,0,0
81,6623,0,0
82,6623,0,0
83,6623,0,6
84,6623,0,0
85,6623,3,0
86,6623,2,0
87,6623,1,0
88,6623,0,3
89,6623,1,0
90,6623,0,0
91,6623,0,0
92,6623,0,0
93,6623,0,0
94,6623,2,0
95,6623,0,0
96,6623,3,0
97,6623,1,2
98,6623,0,0
99,6623,6,1
100,6623,0,0
101,6623,4,0
102,6623,2,0
103,6623,0,0
104,6623,4,1
105,6623,1,4
106,6623,0,0
107,6623,4,4
108,6623,1,1
109,6623,2,6
110,6623,0,0
111,6623,0,2
112,6623,0,0
113,6623,0,0
114,6623,0,0
115,6623,0,2
116,6623,4,4
117,6623,2,0
118,6623,0,1
119,6623,0,0
120,6623,0,0
121,6623,0,0
122,6623,1,2
123,6623,2,1
124,6623,0,2
125,6623,0,0
126,6623,0,0
127,6623,0,0
128,6623,0,0
129,6623,0,6
130,6623,2,5
131,6623,1,1
132,6623,5,7
133,6623,1,2
134,6623,0,1
135,6623,2,2
136,6623,0,2
137,6623,1,0
138,6623,2,0
139,6623,1,0
140,6623,0,0
141,6623,0,0
142,6623,1,2
143,6623,2,0
144,6623,1,1
145,6623,0,0
146,6623,0,2
147,6623,0,0
148,6623,1,0
149,6623,0,0
150,6623,0,1
151,6623,3,1
152,6623,3,3
153,6623,2,4
154,6623,3,6
155,6623,1,1
156,6623,0,0
157,6623,1,0
158,6623,2,3
159,6623,0,0
160,6623,2,0
161,6623,0,1
162,6623,0,1
163,6623,2,4
164,6623,0,0
165,6623,0,0
166,6623,3,3
167,6623,0,0
168,6623,0,2
169,6623,4,0
170,6623,0,0
171,6623,0,0
172,6623,0,0
173,6623,0,1
174,6623,1,2
175,6623,0,1
176,6623,0,0
177,6623,0,0
178,6623,0,0
179,6623,0,0
180,6623,2,0
181,6623,0,0
182,6623,0,0
183,6623,0,1
184,6623,0,1
185,6623,1,0
186,6623,0,0
187,6623,0,4
188,6623,3,1
189,6623,1,2
190,6623,1,2
191,6623,3,2
192,6623,1,4
193,6623,0,1
194,6623,4,4
195,6623,0,1
196,6623,0,0
197,6623,0,0
198,6623,0,0
199,6623,0,0
200,6623,0,0
201,6623,0,0
202,6623,2,4
203,6623,0,0
204,6623,2,0
205,6623,0,0
206,6623,0,0
207,6623,0,0
208,6623,0,0
209,6623,0,0
210,6623,1,1
211,6623,0,1
212,6623,0,0
213,6623,0,2
214,6623,3,0
215,6623,0,0
216,6623,1,2
217,6623,1,1
218,6623,0,0
219,6623,1,6
220,6623,1,0
221,6623,3,3
222,6623,0,2
223,6623,4,0
224,6623,0,0
225,6623,1,2
226,6623,0,0
227,6623,3,0
228,6623,0,2
229,6623,1,2
230,6623,1,0
231,6623,0,4
232,6623,0,1
233,6623,0,0
234,6623,0,5
235,6623,0,2
236,6623,0,0
237,6623,0,0
238,6623,0,4
239,6623,3,1
240,6623,0,0
241,6623,0,0
242,6623,2,1
243,6623,1,0
244,6623,0,2
245,6623,1,0
